Sample,agent,sample/agent,Activation temperature,Activation time,SBET,C,O,N,atom,conditions,capacitance,agent_enc,sample/agent_enc
APN(Pine tree powder)_1,KOH,1:4,850,60.0,2207.0,92.5,4.5,2.4,0.6,1.0,184.0,2,6
APN(Pine tree powder)_2,KOH,1:4,850,60.0,2029.0,91.1,5.8,1.9,1.2,1.0,131.0,2,6
Oil Palm kernel shell_1,KOH,1:4,500,240.0,462.1,80.22,18.51,1.27,0.0,0.5,210.0,2,6
Pine cone,KOH,1:1,800,60.0,1515.0,94.9,4.0,0.0,1.1,0.5,137.0,2,1
Broussonetia papyrifera_1,KOH,1:1,700,120.0,1212.0,92.6,6.4,1.0,0.0,0.5,320.0,2,1
Oil Palm kernel shell_2,steam,1:1,500,240.0,727.3,64.23,28.97,6.8,0.0,0.5,123.0,5,1
spruce,KOH,1:4,700,60.0,2220.0,69.03,24.98,1.19,4.8,0.25,267.0,2,6
corncob,KOH,1:4,700,60.0,2300.0,70.36,23.5,1.43,4.71,0.25,300.0,2,6
corn husks_1,KOH,1:1,800,60.0,928.0,83.68,14.63,1.51,0.18,1.0,312.0,2,1
corn husks_2,KOH,1:1.4,800,60.0,867.0,86.65,12.71,0.64,0.0,1.0,356.0,2,2
corn husks_3,KOH,1:1.8,800,60.0,814.0,82.09,17.13,0.78,0.0,1.0,344.0,2,3
Chinese parasol fluff_1,KOH,1:2,800,60.0,1154.0,84.93,11.82,1.5,1.75,0.2,493.0,2,4
Chinese parasol fluff_2,KOH,1:2,800,60.0,1154.0,84.93,11.82,1.5,1.75,0.5,436.0,2,4
Chinese parasol fluff_3,KOH,1:2,800,60.0,1154.0,84.93,11.82,1.5,1.75,1.0,370.0,2,4
Chinese parasol fluff_4,NaOH,1:2,800,60.0,263.0,87.91,10.84,0.98,0.27,1.0,140.0,3,4
Chinese parasol fluff_5,ZnCl2,1:2,800,60.0,1380.0,86.99,9.98,2.52,0.51,1.0,280.0,4,4
Chinese parasol fluff_6,H3PO4,1:2,800,60.0,800.0,87.33,10.53,1.4,0.74,1.0,207.0,0,4
waste shaddock endotheliums_1,KOH,1:2,750,60.0,1265.0,90.67,7.33,1.45,0.55,0.2,550.0,2,4
waste shaddock endotheliums_2,KOH,1:2,750,60.0,1265.0,90.67,7.33,1.45,0.55,0.5,425.0,2,4
waste shaddock endotheliums_3,KOH,1:2,750,60.0,1265.0,90.67,7.33,1.45,0.55,1.0,400.0,2,4
Lotus seedpods_1,KOH,1:8,700,120.0,870.0,64.54,33.12,0.51,1.83,0.5,362.0,2,10
Lotus seedpods_2,KOH,1:8,800,120.0,1812.0,67.54,31.06,0.44,0.96,0.5,402.0,2,10
Lotus seedpods_3,KOH,1:8,900,120.0,2864.0,77.96,21.34,0.18,0.52,0.5,338.0,2,10
Willow catkins_1,KOH,1:1,600,60.0,645.0,74.63,13.28,2.51,9.58,0.5,300.0,2,1
Willow catkins_2,KOH,1:1,700,120.0,1106.0,80.82,9.95,1.39,7.84,0.5,278.0,2,1
Willow catkins_3,KOH,1:1,800,150.0,1586.0,87.04,5.55,0.95,6.46,0.5,208.0,2,1
Lotus leaf_1,KOH,1:3,700,60.0,2297.0,90.22,9.1,0.68,0.0,1.0,344.0,2,5
Lotus leaf_2,KOH,1:3,800,60.0,2488.0,93.84,5.33,0.83,0.0,1.0,379.0,2,5
Lotus leaf_3,KOH,1:3,900,60.0,2487.0,88.74,10.46,0.8,0.0,1.0,286.0,2,5
Lotus leaf_4,KOH,1:2,800,60.0,2488.0,90.88,7.1,2.02,0.0,1.0,345.0,2,4
Lotus leaf_5,KOH,1:4,800,60.0,2488.0,90.39,8.64,0.97,0.0,1.0,347.0,2,6
Tobacco rods (Brazil),KOH,1:3,800,60.0,2115.0,86.71,6.34,1.23,5.72,0.5,286.6,2,5
(Zimbabwe),KOH,1:3,800,60.0,1971.0,83.98,6.2,1.19,8.63,0.5,235.0,2,5
(Yunnan),KOH,1:3,800,60.0,1994.0,81.96,9.77,1.33,6.94,0.5,274.0,2,5
