Sample,agent,sample/agent,Activation temperature,Activation time,SBET,C,O,N,atom,conditions,capacitance,References
APN(Pine tree powder),KOH,1:4,850,60,2207,92.5,4.5,2.4,0.6,1,184,[1]
APN(Pine tree powder),KOH,1:4,850,60,2029,91.1,5.8,1.9,1.2,1,131,
Oil Palm kernel shell,KOH,1:4,500,240,462.1,80.22,18.51,1.27,0,0.5,210,[2]
Pine cone,KOH,1:1,800,60,1515,94.9,4,0,1.1,0.5,137,[3]
Broussonetia papyrifera,KOH,1:1,700,120,1212,92.6,6.4,1,0,0.5,320,[4]
Oil Palm kernel shell,steam,1:1,500,4h,727.3,64.23,28.97,6.8,0,0.5,123,[2]
spruce,KOH,1:4,700,60,2220,69.03,24.98,1.19,4.8,0.25,267,
corncob,KOH,1:4,700,60,2300,70.36,23.5,1.43,4.71,0.25,300,
corn husks,KOH,1:1,800,60,928,83.68,14.63,1.51,0.18,1,312,[5]
,KOH,1:1.4,800,60,867,86.65,12.71,0.64,0,1,356,
,KOH,1:1.8,800,60,814,82.09,17.13,0.78,0,1,344,
Chinese parasol fluff,KOH,1:2,800,60,1154,84.93,11.82,1.5,1.75,0.2,493,[6]
Chinese parasol fluff,KOH,1:2,800,60,1154,84.93,11.82,1.5,1.75,0.5,436,
Chinese parasol fluff,KOH,1:2,800,60,1154,84.93,11.82,1.5,1.75,1,370,
,NaOH,1:2,800,60,263,87.91,10.84,0.98,0.27,1,140,
,ZnCl2,1:2,800,60,1380,86.99,9.98,2.52,0.51,1,280,
,H3PO4,1:2,800,60,800,87.33,10.53,1.4,0.74,1,207,
waste shaddock endotheliums,KOH,1:2,750,60,1265,90.67,7.33,1.45,0.55,0.2,550,[7]
,KOH,1:2,750,60,1265,90.67,7.33,1.45,0.55,0.5,425,
,KOH,1:2,750,60,1265,90.67,7.33,1.45,0.55,1,400,
Lotus seedpods,KOH,1:8,700,120,870,64.54,33.12,0.51,1.83,0.5,362,[8]
,KOH,1:8,800,120,1812,67.54,31.06,0.44,0.96,0.5,402,
,KOH,1:8,900,120,2864,77.96,21.34,0.18,0.52,0.5,338,
Willow catkins,KOH,1:1,600,60,645,74.63,13.28,2.51,9.58,0.5,300,[9]
,KOH,1:1,700,120,1106,80.82,9.95,1.39,7.84,0.5,278,
,KOH,1:1,800,150,1586,87.04,5.55,0.95,6.46,0.5,208,
Lotus leaf,KOH,1:3,700,60,2297,90.22,9.1,0.68,0,1,344,[10]
,KOH,1:3,800,60,2488,93.84,5.33,0.83,0,1,379,
,KOH,1:3,900,60,2487,88.74,10.46,0.8,0,1,286,
,KOH,1:2,800,60,2488,90.88,7.1,2.02,0,1,345,
,KOH,1:4,800,60,2488,90.39,8.64,0.97,0,1,347,
Tobacco rods (Brazil),KOH,1:3,800,60,2115,86.71,6.34,1.23,5.72,0.5,286.6,[11]
(Zimbabwe),KOH,1:3,800,60,1971,83.98,6.2,1.19,8.63,0.5,235,
(Yunnan),KOH,1:3,800,60,1994,81.96,9.77,1.33,6.94,0.5,274,
(Guizhou),KOH,1:3,800,60,1761,82.37,7.16,1.19,9.28,0.5,243,
(Hunan),KOH,1:3,800,60,2097,81.5,9.01,1.23,8.26,0.5,279,
(Sichuan),KOH,1:3,800,60,1866,86.48,7.53,1.26,4.73,0.5,265,
Waste coffee grounds,KOH,2:1,1200,120,1945.7,78.2,15.1,4,2.7,0.5,121,[12]
Potato waste,ZnCl2,1:2,700,120,1052,75.2,0,6.2,18.6,0.5,255,[13]
Camellia oliefera Shell,ZnCl2,1:3,600,60,1935,89.44,0,0.32,10.24,0.5,323,[14]
,ZnCl2,1:3,600,60,1935,89.44,0,0.32,10.24,0.5,227,
8Pueraria+4melamine,K2CO3,1:1,700,60,2321,73.06,21.16,4.16,1.62,0.5,250,
Sakura petals,KOH,1:3,750,60,1137.7,72.38,27.19,0.43,0,1,175,[15]
,KOH,1:4,750,60,1433.76,72.92,26.58,0.5,0,1,231.6,
,KOH,1:5,750,60,1785.41,90.26,9.41,0.33,0,1,179,
Broussonetia papyrifera,KOH,1:1,700,120,1212,92.6,6.4,1,0,0.5,320,[4]
