Materials-1,Materials-2,Electrolyte,Voltage window (V),Specific surface area (m2/g),Pore volume (cm3/g),Pore size (nm),Micropore volume (cm3/g),SSA of micropores (m2/g),Id/Ig,N (at. %),O (at. %),B (at. %),S (at. %),F (at. %),P (at. %),Capacitance (F/g),is_composite,has_material_note,mat1_enc,mat2_enc,elec_enc
CDC,none,h2so4,0.25,630.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0,0,7,5,9
CDC,none,h2so4,0.25,1000.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0,0,7,5,9
CDC,none,h2so4,0.25,1500.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0,0,7,5,9
CDC,none,h2so4,0.25,1400.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0,0,7,5,9
CDC,none,h2so4,0.25,850.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0,0,7,5,9
CDC,none,h2so4,0.25,1800.0,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0,0,7,5,9
CDC,none,h2so4,0.25,1700.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0,0,7,5,9
CDC,none,h2so4,0.25,1100.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0,0,7,5,9
MWCNT,none,teabf4,3.5,20.0,0.11,0.0,0.02,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0,0,11,5,23
MWCNT,none,teabf4,3.5,247.0,0.37,0.0,0.18,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0,0,11,5,23
carbon nanorods,none,koh,0.9,1347.0,1.01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.1,0,0,27,5,14
carbon nanorods,none,koh,0.9,3310.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.9,0,0,27,5,14
carbon nanofiber,none,koh,0.9,310.0,0.17,0.54,0.15,0.0,0.0,3.5,4.9,0.0,0.0,0.0,0.0,120.0,0,0,25,5,14
carbon nanofiber,none,koh,0.9,420.0,0.22,0.54,0.2,0.0,0.0,2.9,4.8,0.0,0.0,0.0,0.0,128.0,0,0,25,5,14
carbon nanofiber,none,koh,0.9,550.0,0.34,0.59,0.26,0.0,0.0,0.9,4.5,0.0,0.0,0.0,0.0,140.0,0,0,25,5,14
unknown,none,h2so4,1.0,2872.0,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0,0,0,39,5,9
unknown,none,koh,1.0,970.0,0.69,2.85,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4,0,0,39,5,14
unknown,none,h2so4,0.9,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.0,0,0,39,5,9
porous carbon,none,koh,1.0,2273.0,2.74,4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0,0,36,5,14
porous carbon,none,h2so4,1.2,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0,0,36,5,9
unknown,none,h2so4,1.2,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,39,5,9
unknown,none,h2so4,1.2,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0,0,39,5,9
unknown,none,h2so4,1.2,0.0,0.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0,0,39,5,9
CDC,none,teabf4,2.0,2250.0,1.4,0.0,0.0,0.0,2.45,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0,0,7,5,23
CDC,none,teabf4,2.0,2430.0,1.4,0.0,0.0,0.0,2.26,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0,0,7,5,23
CDC,none,teabf4,2.0,2420.0,1.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0,0,7,5,23
CNT,none,liclo4,2.6,146.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,0,0,9,5,16
unknown,none,liclo4,2.6,159.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.4,0,0,39,5,16
porous carbon,none,net4bf4,2.7,1522.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0,0,36,5,21
AC,none,net4bf4,2.7,2549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0,0,3,5,21
CNT,none,net4bf4,2.7,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0,0,9,5,21
carbon sphere,graphene,koh,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,1,0,29,4,14
graphene,none,koh,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0,0,32,5,14
carbon sphere,none,koh,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0,0,29,5,14
carbon,none,h2so4,0.9,415.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0,0,23,5,9
porous carbon,none,h2so4,0.9,710.0,0.0,0.71,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,185.0,0,0,36,5,9
porous carbon,none,h2so4,0.9,698.0,0.0,0.82,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,360.0,0,0,36,5,9
porous carbon,none,h2so4,0.9,565.0,0.0,0.76,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,341.0,0,0,36,5,9
AC,none,h2so4,0.9,886.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,0,0,3,5,9
graphene,none,koh,0.9,801.0,0.9,3.7,0.0,0.0,0.0,0.0,10.1,0.0,0.0,0.0,0.0,218.0,0,0,32,5,14
porous carbon,graphene,koh,0.9,1496.0,3.36,1.4,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,171.0,1,0,36,4,14
porous carbon,graphene,koh,0.9,1390.0,3.28,1.4,0.0,0.0,0.0,1.2,1.6,0.0,0.0,0.0,0.0,136.0,1,0,36,4,14
graphene,none,koh,0.9,787.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,95.0,0,0,32,5,14
porous carbon,none,nacl,0.9,429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0,0,36,5,20
porous carbon,none,nacl,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0,0,36,5,20
porous carbon,none,h2so4,0.9,429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0,0,36,5,9
porous carbon,none,h2so4,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0,0,36,5,9
