Material,Surface area (m2/g),Pore volume (cm3/g),N (at%),O (at%),S (at%),B (at%),Electrolyte,Current density (A/g),Capacitance (F/g),Energy density (Wh/kg),Power density (W/kg),N_doped,O_doped,S_doped,B_doped,Total_heteroatom (at%),Electrolyte_group,Electrolyte_enc
N-doped porous carbon nanosheets,1786.1,0.8157,2.1,7.11,0.0,0.0,6M KOH,0.25,339.0,11.77,34.11,1,0,0,0,9.21,aqueous_alkaline,1
N/O/S-doped hierarchical porous carbon materials,3519.5,2.68,3.46,10.0,3.75,0.0,1M H2SO4,1.0,549.0,12.7,,1,1,1,0,,aqueous_acid,0
Mesoporous hollow carbon spheres,1582.0,2.45,0.0,0.0,3.75,0.0,6M KOH,1.0,310.0,,,0,0,1,0,,aqueous_alkaline,1
N/S-co-doped carbon nanobowls,1567.0,2.25,3.3,0.0,1.7,0.0,6M KOH,0.1,279.0,9.6,25.0,1,0,1,0,5.0,aqueous_alkaline,1
N-doped multi-chamber carbon microspheres,1797.0,0.96,4.58,2.12,0.0,0.0,6M KOH,0.2,301.0,,,1,0,0,0,6.7,aqueous_alkaline,1
N-rich porous carbon nanosheets,2406.0,1.1093333333333333,9.4,4.7,0.0,0.0,EMIMBF4,0.5,250.0,139.0,500.0,1,0,0,0,14.100000000000001,ionic_liquid,3
2D porous carbon nanosheets,1907.0,0.77,1.54,6.59,0.0,0.0,EMIMBF4,1.0,221.0,94.0,1800.0,1,0,0,0,8.129999999999999,ionic_liquid,3
Porous carbon nanorods,1559.0,1.82,1.47,0.62,0.0,0.0,1M H2SO4,0.05,187.0,,,1,0,0,0,2.09,aqueous_acid,0
N-doped porous carbon nanofibrous microspheres,1147.0,2.12,2.4,6.1,0.0,0.0,EMIMTFSI,0.005,113.0,58.7,300.0,1,0,0,0,8.5,ionic_liquid,3
N-doped porous carbon superstructures,1375.0,0.996,3.46,7.99,3.75,0.0,6M KOH,0.6,364.0,,,1,0,1,0,11.45,aqueous_alkaline,1
Porous interconnected carbon nanosheets,2220.0,1.11,3.46,0.0,0.0,0.0,1M TEABF4/ACN,0.1,150.0,,13000.0,1,0,0,0,,organic,4
Ultramicroporous carbon materials,1312.0,0.67,0.0,0.0,0.0,0.0,EMIMBF4,0.2,223.0,32.5,,0,0,0,0,,ionic_liquid,3
N/S-doped porous carbon,1339.0,0.96,4.5,0.0,5.8,0.0,6M KOH,0.2,464.0,16.2,50.0,1,0,1,0,10.3,aqueous_alkaline,1
Order mesoporous carbon spheres,1186.0,0.27,0.0,10.0,3.75,0.0,6M KOH,1.0,226.1,27.0,980.0,0,1,1,0,,aqueous_alkaline,1
N-rich mesoporous carbons,458.0,0.42,19.1,0.0,0.0,0.0,1M H2SO4,0.2,252.0,,,1,0,0,0,19.1,aqueous_acid,0
N/O-doped hierarchical porous carbon nanorods,1882.0,0.8485666666666667,8.1,10.0,0.0,0.0,EMIMBF4,0.2,214.0,116.5,472.0,1,1,0,0,18.1,ionic_liquid,3
Honeycomb-like porous carbon foam,1313.0,0.716,1.1,11.2,0.0,0.0,1M Na2SO4,0.002,260.0,29.3,,0,0,0,0,12.299999999999999,aqueous_neutral,2
B/N-codoped carbon nanosheets,2362.0,1.448,3.1,0.0,0.0,0.5,1M Na2SO4,0.5,235.6,30.1,225.1,1,0,0,1,3.6,aqueous_neutral,2
N-doped microporous carbon spheres,1478.0,0.76,8.71,7.89,3.75,0.0,6M KOH,1.0,292.0,8.75,500.0,1,0,1,0,16.6,aqueous_alkaline,1
