PW (V),SSA (m2/g),PV (cm3/g),PS (nm),Id/Ig,C%,N%,O %,S%,current density (A/g),Electrode(encoded),Electrolyte(encoded),Method(encoded),Capacitance (F/g)
1.0,1872.0,0.86,3.8,0.89,85.57,1.39,9.61,0.0,1.0,14,34,1,255.0
1.0,1872.0,0.86,3.8,0.89,85.57,1.39,9.61,0.0,5.0,14,34,1,222.0
1.0,1872.0,0.86,3.8,0.89,85.57,1.39,9.61,0.0,10.0,14,34,1,198.0
0.6,126.36,0.091876,2.26,1.18,82.2,0.0,16.08,1.72,1.0,401,13,1,65.0
0.6,126.36,0.091876,2.26,1.18,82.2,0.0,16.08,1.72,2.0,401,13,1,63.0
0.6,126.36,0.091876,2.26,1.18,82.2,0.0,16.08,1.72,3.0,401,13,1,60.0
0.6,126.36,0.091876,2.26,1.18,82.2,0.0,16.08,1.72,4.0,401,13,1,60.0
0.6,126.36,0.091876,2.26,1.18,82.2,0.0,16.08,1.72,5.0,401,13,1,58.0
0.6,126.36,0.091876,2.26,1.18,82.2,0.0,16.08,1.72,10.0,401,13,1,50.0
0.6,126.36,0.091876,2.26,1.18,82.2,0.0,16.08,1.72,15.0,401,13,1,50.0
0.6,126.36,0.091876,2.26,1.18,82.2,0.0,16.08,1.72,20.0,401,13,1,33.0
0.6,462.51,0.1962,2.26,1.19,80.09,0.0,16.74,3.17,1.0,402,13,1,232.0
0.6,462.51,0.1962,2.26,1.19,80.09,0.0,16.74,3.17,2.0,402,13,1,223.0
0.6,462.51,0.1962,2.26,1.19,80.09,0.0,16.74,3.17,3.0,402,13,1,215.0
0.6,462.51,0.1962,2.26,1.19,80.09,0.0,16.74,3.17,4.0,402,13,1,211.0
0.6,462.51,0.1962,2.26,1.19,80.09,0.0,16.74,3.17,5.0,402,13,1,200.0
0.6,462.51,0.1962,2.26,1.19,80.09,0.0,16.74,3.17,10.0,402,13,1,183.0
0.6,462.51,0.1962,2.26,1.19,80.09,0.0,16.74,3.17,15.0,402,13,1,175.0
0.6,462.51,0.1962,2.26,1.19,80.09,0.0,16.74,3.17,20.0,402,13,1,166.0
0.6,414.68,0.2137,2.26,1.19,83.86999999999999,0.0,13.12,3.01,1.0,403,13,1,200.0
0.6,414.68,0.2137,2.26,1.19,83.86999999999999,0.0,13.12,3.01,2.0,403,13,1,193.0
0.6,414.68,0.2137,2.26,1.19,83.86999999999999,0.0,13.12,3.01,3.0,403,13,1,150.0
0.6,414.68,0.2137,2.26,1.19,83.86999999999999,0.0,13.12,3.01,4.0,403,13,1,100.0
0.6,414.68,0.2137,2.26,1.19,83.86999999999999,0.0,13.12,3.01,5.0,403,13,1,84.0
0.6,414.68,0.2137,2.26,1.19,83.86999999999999,0.0,13.12,3.01,10.0,403,13,1,83.0
0.6,474.99,0.2511,2.26,1.19,85.69,0.0,10.24,4.07,1.0,404,13,1,275.0
0.6,474.99,0.2511,2.26,1.19,85.69,0.0,10.24,4.07,2.0,404,13,1,260.0
0.6,474.99,0.2511,2.26,1.19,85.69,0.0,10.24,4.07,3.0,404,13,1,255.0
0.6,474.99,0.2511,2.26,1.19,85.69,0.0,10.24,4.07,4.0,404,13,1,250.0
0.6,474.99,0.2511,2.26,1.19,85.69,0.0,10.24,4.07,5.0,404,13,1,248.0
0.6,474.99,0.2511,2.26,1.19,85.69,0.0,10.24,4.07,10.0,404,13,1,233.0
0.6,474.99,0.2511,2.26,1.19,85.69,0.0,10.24,4.07,15.0,404,13,1,225.0
0.6,474.99,0.2511,2.26,1.19,85.69,0.0,10.24,4.07,20.0,404,13,1,200.0
1.4,474.99,0.2511,2.26,1.19,85.69,0.0,10.24,4.07,1.0,404,13,0,137.7
1.4,474.99,0.2511,2.26,1.19,85.69,0.0,10.24,4.07,2.0,404,13,0,97.0
1.4,474.99,0.2511,2.26,1.19,85.69,0.0,10.24,4.07,3.0,404,13,0,82.28
1.4,474.99,0.2511,2.26,1.19,85.69,0.0,10.24,4.07,4.0,404,13,0,73.14
1.4,474.99,0.2511,2.26,1.19,85.69,0.0,10.24,4.07,5.0,404,13,0,64.28
1.0,952.0,0.632,2.653,1.02,75.48,0.41,24.11,0.0,1.0,190,34,1,225.0
1.0,952.0,0.632,2.653,1.02,75.48,0.41,24.11,0.0,2.003738317757,190,34,1,208.309178743961
1.0,952.0,0.632,2.653,1.02,75.48,0.41,24.11,0.0,3.02056074766355,190,34,1,203.574879227053
1.0,952.0,0.632,2.653,1.02,75.48,0.41,24.11,0.0,5.02429906542056,190,34,1,197.487922705314
1.0,952.0,0.632,2.653,1.02,75.48,0.41,24.11,0.0,8.01495327102803,190,34,1,192.753623188405
1.0,952.0,0.632,2.653,1.02,75.48,0.41,24.11,0.0,10.018691588785,190,34,1,192.07729468599
1.0,952.0,0.632,2.653,1.02,75.48,0.41,24.11,0.0,15.0,190,34,1,185.0
1.0,1067.0,0.748,2.802,0.93,86.10000000000001,0.3,13.6,0.0,1.0,189,34,1,200.0
